Model,Metric,Optimizer,User_based,k,RMSE,MAE,MSE,Precision,Recall,Accuracy,DataSet
KNNWithZScore,pearson_baseline,sgd,False,10,0.7736729074587968,0.4176373587198476,0.598569767735748,0.22626262626262628,0.17804417804417805,67.81609195402298,upsampled_df_smote_auto
KNNWithZScore,pearson_baseline,als,False,5,0.8146429984816577,0.4909107388918545,0.6636432149751861,0.17394366197183098,0.14291303375810416,62.83524904214559,upsampled_df_smote_auto
KNNWithZScore,pearson_baseline,als,False,10,0.8174780276009009,0.47023792832996186,0.6682703256102593,0.24714285714285716,0.21498897927469354,66.28352490421456,upsampled_df_smote_auto
KNNBasic,cosine,sgd,True,5,0.5491584090661941,0.2711168664942738,0.30157495824811337,0.7132275132275133,0.6705702166989657,80.94059405940595,upsampled_df_smote_auto_distribution_kept
KNNBasic,cosine,sgd,True,10,0.6139734433378853,0.3022970391514007,0.37696338912417937,0.6310185185185185,0.6352850267565826,77.97029702970298,upsampled_df_smote_auto_distribution_kept
KNNBasic,cosine,als,True,5,0.5655645752998854,0.28827621205378057,0.3198632888341397,0.7345401174168298,0.7526183381166849,77.97029702970298,upsampled_df_smote_auto_distribution_kept
KNNBasic,cosine,als,True,10,0.5036529545670065,0.24874541602280997,0.25366629864407514,0.7733333333333333,0.7536311192181638,80.19801980198021,upsampled_df_smote_auto_distribution_kept
KNNBasic,cosine,sgd,False,5,0.5862106040163981,0.30116635749148285,0.34364287226127027,0.6828282828282828,0.6770876916809933,76.98019801980197,upsampled_df_smote_auto_distribution_kept
KNNBasic,cosine,sgd,False,10,0.6060631131305514,0.30186130055216076,0.3673124970974955,0.7136996336996337,0.693386369833143,78.21782178217822,upsampled_df_smote_auto_distribution_kept
KNNBasic,cosine,als,False,5,0.5062026421591103,0.2548616027547588,0.25624111492886426,0.6868869936034115,0.6905884113268246,79.20792079207921,upsampled_df_smote_auto_distribution_kept
KNNBasic,cosine,als,False,10,0.5205126828142512,0.2517232440474736,0.2709334529704893,0.7100614439324117,0.7063967134462448,81.68316831683168,upsampled_df_smote_auto_distribution_kept
KNNBasic,msd,sgd,True,5,0.4921409338245292,0.2337755227254042,0.24220269874567968,0.6829545454545455,0.6545348319804841,82.17821782178217,upsampled_df_smote_auto_distribution_kept
KNNBasic,msd,sgd,True,10,0.6120061506343106,0.2919697319296524,0.3745515284142265,0.7303174603174603,0.7238832489517547,81.1881188118812,upsampled_df_smote_auto_distribution_kept
KNNBasic,msd,als,True,5,0.5255279027540283,0.256098280941447,0.27617957657304737,0.6194444444444446,0.6172160714315474,80.44554455445545,upsampled_df_smote_auto_distribution_kept
KNNBasic,msd,als,True,10,0.5372154353558909,0.2720970832026223,0.28860042398461944,0.7028985507246377,0.7229755538579068,79.45544554455446,upsampled_df_smote_auto_distribution_kept
KNNBasic,msd,sgd,False,5,0.5513780451891711,0.2869215210815711,0.30401774871663156,0.7350198412698413,0.7305991173178673,78.21782178217822,upsampled_df_smote_auto_distribution_kept
KNNBasic,msd,sgd,False,10,0.5593686659758769,0.2788589407475018,0.31289330447563213,0.6299019607843137,0.6273136476047564,78.46534653465346,upsampled_df_smote_auto_distribution_kept
KNNBasic,msd,als,False,5,0.6094499231337962,0.3160235457074179,0.37142920880779007,0.6648148148148149,0.6752132347605139,76.48514851485149,upsampled_df_smote_auto_distribution_kept
KNNBasic,msd,als,False,10,0.5530838111517015,0.2678306999269605,0.305901702158091,0.6845959595959596,0.6908819474942663,80.94059405940595,upsampled_df_smote_auto_distribution_kept
